Provider,Measure_ID,Value,Footnote,Start_Date,End_Date
040026,MSPB-1,0.962184,,01012014,12312014
040027,MSPB-1,0.943138,,01012014,12312014
040029,MSPB-1,0.985313,,01012014,12312014
040036,MSPB-1,0.992200,,01012014,12312014
040039,MSPB-1,1.011120,,01012014,12312014
040041,MSPB-1,0.987111,,01012014,12312014
040047,MSPB-1,0.974352,,01012014,12312014
040050,MSPB-1,1.039013,,01012014,12312014
040051,MSPB-1,0.963121,,01012014,12312014
040055,MSPB-1,1.030974,,01012014,12312014
040062,MSPB-1,1.050444,,01012014,12312014
040067,MSPB-1,1.067044,,01012014,12312014
040069,MSPB-1,0.902724,,01012014,12312014
040071,MSPB-1,1.017420,,01012014,12312014
040072,MSPB-1,0.868620,,01012014,12312014
040074,MSPB-1,1.193827,,01012014,12312014
040076,MSPB-1,0.914331,,01012014,12312014
040078,MSPB-1,1.028638,,01012014,12312014
040080,MSPB-1,1.008420,,01012014,12312014
040084,MSPB-1,0.970873,,01012014,12312014
040085,MSPB-1,0.717917,,01012014,12312014
040088,MSPB-1,1.057246,,01012014,12312014
040114,MSPB-1,0.980045,,01012014,12312014
040118,MSPB-1,0.997557,,01012014,12312014
040119,MSPB-1,0.991526,,01012014,12312014
040134,MSPB-1,0.918037,,01012014,12312014
040137,MSPB-1,1.096416,,01012014,12312014
040147,MSPB-1,0.882543,,01012014,12312014
040152,MSPB-1,0.992862,,01012014,12312014
040153,MSPB-1,1.012708,,01012014,12312014
050002,MSPB-1,1.073027,,01012014,12312014
050006,MSPB-1,0.917015,,01012014,12312014
050007,MSPB-1,0.878824,,01012014,12312014
050008,MSPB-1,0.967858,,01012014,12312014
050009,MSPB-1,0.910820,,01012014,12312014
050013,MSPB-1,0.911719,,01012014,12312014
050014,MSPB-1,0.896317,,01012014,12312014
050017,MSPB-1,0.946959,,01012014,12312014
050018,MSPB-1,1.148749,,01012014,12312014
050022,MSPB-1,1.032545,,01012014,12312014
050024,MSPB-1,1.139406,,01012014,12312014
050025,MSPB-1,0.990040,,01012014,12312014
050026,MSPB-1,0.971553,,01012014,12312014
050028,MSPB-1,0.869623,,01012014,12312014
050030,MSPB-1,0.815837,,01012014,12312014
050036,MSPB-1,1.047739,,01012014,12312014
050038,MSPB-1,0.945100,,01012014,12312014
050039,MSPB-1,0.966881,,01012014,12312014
050040,MSPB-1,0.913609,,01012014,12312014
050042,MSPB-1,0.901839,,01012014,12312014
050043,MSPB-1,1.002265,,01012014,12312014
050045,MSPB-1,0.915593,,01012014,12312014
050047,MSPB-1,0.893115,,01012014,12312014
050054,MSPB-1,1.002439,,01012014,12312014
050055,MSPB-1,0.907978,,01012014,12312014
050056,MSPB-1,1.022560,,01012014,12312014
050057,MSPB-1,0.955839,,01012014,12312014
050058,MSPB-1,1.062329,,01012014,12312014
050060,MSPB-1,0.992642,,01012014,12312014
050063,MSPB-1,1.129928,,01012014,12312014
050067,MSPB-1,0.933400,,01012014,12312014
050069,MSPB-1,1.010627,,01012014,12312014
050070,MSPB-1,0.789388,,01012014,12312014
050071,MSPB-1,0.818509,,01012014,12312014
050072,MSPB-1,0.827251,,01012014,12312014
050073,MSPB-1,0.873700,,01012014,12312014
